Fecha,Título,Descripción,Rating,Fuente,País,Estado USA
2023-01-29,I have purchased several mattresses,I have purchased several mattresses from Amazon and couldn’t be happier with each and everyone that I received every mattress comes nicely rolled up in an airtight plastic and a box making it easy for me to locate it into the room it needs to be in. I will continue to get mattress from Amazon,5,Bestcompany,,PA
2020-02-06,Have been a customer and,Have been a customer and have worked for this company great people and great product never been treated bad.,5,Bestcompany,,KY
2019-02-06,Amazon is always a great,Amazon is always a great place to purchase a mattress topper it was very comfortable and I slept well,5,Bestcompany,,OH
2023-01-15,I purchased a pack of,I purchased a pack of 2 twin mattress. They are actually quite comfortable and has a padded pillow top! Best value for the money!,5,Bestcompany,,AZ
2023-01-05,I really like using amazon,I really like using amazon for all of my last minute purchases. My mattress came in very quickly and nicely packaged- like the team really cares for their customers.,5,Bestcompany,,IL
2023-01-05,I love Amazon and Use,I love Amazon and Use it almost every day. I buy everything from clothes to hair accessories to sneakers. They are a one stop shop! I even got a mattress from there.,5,Bestcompany,,PA
2023-01-29,Amazon start good but I,"Amazon start good but I noticed they start to drop the ball , some products quality doesn’t match photos",3,Bestcompany,,VA
2022-02-05,Amazon company had everything I,"Amazon company had everything I could wish for on their website. They had dog toys,bamboo makeup brushes, multi colored wine glasses, and mini fridge for me to store my cold makeup products in it.  I also love their amazing deal with anything over $25 dollars is free shipping.  I also love when they tell you what date your package is supposed to arrive. The shippers are careful with all the packages I have ordered which I appreciate since some of my items are fragile. When I ordered a twin size mattress for my daughter it was packaged to my house with care and wasn't just thrown on the ground like trash.  When we unboxed the mattress it was soft when I first felt it and it was covered in plastic covering which I like so no stains gets on the mattress before I get it. I also bought a bed frame for the new bed for my daughter and it came with directions which I also like because most places assume you know how to put a bed frame up so they don't give you instructions.",5,Bestcompany,,MD
2023-01-05,Got a great product! loved,Got a great product! loved the options. Still using them today after years.,5,Bestcompany,,
2023-01-05,It just depends on what,"It just depends on what you’re looking for , the selection and value is very hard to beat.",4,Bestcompany,,LA
2022-02-05,I ordered a bed in,"I ordered a bed in the box from Amazon a few years back, it was an Oliver Stone pillow top king size mattress in a box

It came rolled up like a rug all I had to do was cut away the plastic that was keeping it folded and let it compress for 4 hrs and it becomes a king size mattress

It is sooo comfortable the best decision I ever made

Amazon made it so easy for me that I end up getting a full size on for my 13 yr old granddaughter for Christmas boy was she happy",5,Bestcompany,,PA
2022-02-05,Amazon is my go to,"Amazon is my go to for nearly everything.  Anytime I need something for the house Amazon is my first pick. 
I've purchased a memory foam mattress from them, which was a great value. The memory foam mattress I purchased was thick enough for comfort yet light enough for maneuverability. 
I've had the mattress for about a year now and it's still in great shape.",5,Bestcompany,,TX
2019-02-06,I bought a mattress off,"I bought a mattress off of Amazon after I had to abruptly escape a toxic relationship with a person that I was living with. I found a new place online and moved in, shortly after I got my new mattress and all was well. Thanks Amazon. The mattress I purchased from Amazon held up for a couple of years before I upgraded to a larger bed. The mattress was still going strong but I had to ditch it for something bigger",5,Bestcompany,,CA
2023-01-05,Amazon never let's you down.,Amazon never let's you down. They are fast and easy.,5,Bestcompany,,TX
2022-02-05,One of my favorite things,"One of my favorite things that I have bought from Amazon was a twin mattress for my son's bunk bed. The mattress was very inexpensive and came wrapped up so that it could be shipped. It has lasted several years and is still very comfortable. Would highly recommend, quick and fast shipping!",5,Bestcompany,,AZ
2022-02-05,We have two Amazon mattresses.,We have two Amazon mattresses. In both cases we needed something quickly but are still pleased with them years later. They arrived in efficient packaging and were ready to use by the evening. Our guests often compliment us on the quality and firmness.,5,Bestcompany,,PA
