Fecha,Título,Descripción,Rating,Fuente,País,Estado USA
2023-01-29,I love the options Netflix,"I love the options Netflix has, some of my favorite shows are Netflix originals and it is so easy to navigate! I love that I can watch it anywhere and watch the same shows as my friends and family.",5,Bestcompany,,KS
2023-01-05,I received my first smart,"I received my first smart TV a few years ago an as an older female I wasn't knowledgeable about the smart TV stuff Lol. My son got me the Netflix subscription then when it expired I purchased it back, always something new to watch, they recommend great shows according to my watch history and they're pretty spot on. It's so much more convenient watching movies from home rather that being in a stuffy expensive theater. I love Netflix and would definitely recommend them to everyone.",5,Bestcompany,,MS
2023-01-05,I LOVE IT MORE THAN,"I LOVE IT MORE THAN TV! I  watch Netflix consistently! This year I decided to cut the cable cord.  In addition to signing up for DirecTV stream,  I spend a lot of time on Netflix. I don't mind the fact that they've increased their charges because the value is well worth it.",5,Bestcompany,,TX
2022-11-04,I’ve had Netflix for over,"I’ve had Netflix for over 8 years. I love it so much that I stopped my cable package && just kept my Wi-Fi because it was literally all we ever use now. They have a great selection of movies && TV shows. They always have new releases so you should be able to find something you haven’t seen before because they do always add new movies && TV shows. They also have amazing customer service. Out of all the years I’ve had them I have only had to reach out twice. (Both my own fault not NetFlix’s. They helped me with the situation very fast && correctly! I’ve had other streaming services but, Netflix is by far my favorite. I think I’ve tried them all && I have only kept Netflix && Amazon Prime. I don’t really use Amazon for watching movies. I just use it for fast shipping && other prime benefits. I will continue to keep Netflix for sure! I love the selection they have && how easy it is to navigate on my smart TV && phone. Others places just really can’t compare. One thing I don’t like about Netflix is that they went up on their prices && before the price was great! Hopefully they don’t go up anymore because that’s the one thing that will cost them a wonderful customer.",5,Bestcompany,,TN
2023-01-22,I love the variety of,I love the variety of shows it offers for all audiences. My favorite feature is having a kids profile. My kid can see the appropriate recommended shows. Super user friendly.,5,Bestcompany,,AZ
2023-01-15,I love Netflix. The amount,I love Netflix. The amount of different movies and shows you can watch for such a cheap price is insane and there are some really good Netflix originals shows.,5,Bestcompany,,GA
2023-01-05,Netflix is my favorite streaming,Netflix is my favorite streaming service. I like how there are categories for the movie types. They constantly update the movies on there and many new releases get uploaded promptly.,5,Bestcompany,,IL
2023-01-05,I finding that about 75%,I finding that about 75% of the movies that are available for streaming our foreign. I pay $15.99/mo for my service...which has increased almost 50% in the past 3-4 years. Why do we have to be subjected to mostly foreign films with lame voice overs? Have they stopped making films in America or has Netflix just decided to go the foreign route to gain more revenue in its pockets?,3,Bestcompany,,CA
2023-01-05,Netflix is the best streaming,Netflix  is the best streaming movies site. My family and I are very satisfied with the service. The monthly  membership is a little bit high. I wish they show new shows more often.,5,Bestcompany,,NC
2020-02-06,Good quality on both video,Good quality on both video and audio. Reasonable price to join and huge variety to choose from...great!!,4,Bestcompany,,MO
