Fecha,Título,Descripción,Rating,Fuente,País,Estado USA
2021-02-05,I went through the entire,"I went through the entire process with Tesla for solar on my home, even got the permitting complete. It took a few months of waiting for my install date and instead they just canceled my order completely saying they are no longer in my market. It was a complete waste of time and I have to start all over and find another company. Of course pricing has increased since then. I deeply regret ever trusting this company.",1,Bestcompany,,CA
2023-01-05,I decided to go with,"I decided to go with Tesla after a year of research, based on price, aesthetics, website information, etc.  I paid the deposit on September 29th, 2022 and the contract a week later.  I was told that permits were being applied for, but had to wait until November 30, 2022 for the initial site visit (60 days of 90) which went well.  

I was very clear how and where I wanted to be installed inside the garage and in the attic.  I was told that the 2018 home was solar ready, and plenty of room for the Powerwall inside the garage.  

The first design a week later seemed to confirm the same, but then it was unilaterally changed by Tesla's design team to outside the garage and house.  When I refused to agree to the same, they lied and said that the local city would not permit it.  
I contacted the city and found that both were entirely untrue.  J also found the added claimed equipment was not required and what was required costs between $60-100 dollars.

Then they raised the contract amount by $800 for the Powerwall garage installation, and another $625 for the 2018 solar ready attic and panel.  

 I went round and round with them for an explanation of the initial charges, and extra charges broken-down and still do not have that information, they refuse to provide it.  
Now Tesla has also wasted 80+ days of the original 90 days install date by lying, changing the design, stalling the site visit, not applying for permits, etc., 
They still have not given me any revised design, have not applied for any permits, have no installation date, and I will not be able to use the 30% tax credit this year.  

I cancelled the contract, and am waiting for a full refund of my $400 deposit.  Tesla is all smoke and mirrors, and then attempts to exhort extra fees, for their mistakes and lies. Too many red flags!  Heaven forbids if there are any other real problems, damage, production, installation, lack of permission to operate, etc.  

I will never do business with them, pay them any money, or buy their cars, and neither should anyone else.  They have all apparently adopted the personality of their principal, how unfortunate!",1,Bestcompany,,CA
2022-12-05,The price that Tesla offered,"The price that Tesla offered was great and the installation went smoothly, everything else has been a nightmare. No communications from my project advisor during the initial design phase, had to call Tesla numerous times to ask questions. Once installed, it took Tesla four times over seven months to file the application to the utility company correctly. Once utility approval was granted, found out that there was an issue with the system. It's now been four months with several visits from Tesla and they've been unable to fix it. I've had the panels on my roof for over a year now and they've never fully worked. I started a ticket with Tesla's resolution dept only for them to find out the approved utility application had incorrect kW amount, with very little help otherwise so far.",1,Bestcompany,,RI
2022-04-01,I finally went with the,"I finally went with the Tesla Solar Roof (tiles not panels) and I couldn't be happier. I needed a new roof anyway so decided to get it with 2 PowerWall backup batteries. The product looks amazing and IMO is the best looking solar product on the market right now. You cannot tell you have solar tiles at all. From a distance it looks like slate. Very smart. The install crew were amazing! They battled bad weather including freezing temps, rain, wind and snow in NJ in Feb/March! It did not deter them, and they got it done on time and were communicative the whole time. Shout out to Martin N & Jimmy C and their whole crew! Their electricians are also very detail oriented and do a great job of hiding things as best they can. The Powerwalls work seamlessly and the app showing usage is mesmerizing. You cannot tell when you are on battery versus, solar versus grid. No flickering, stuttering or anything. Just seamless power delivery. Highly impressive!

Some things to keep in mind:
I will say that Tesla's solar product line and what they do/do not support is changing by the minute, definitely get things clear with your project supervisor. For instance, I have 5 skylights and originally was told they would replace them for me. Then was told they don't do that service any more. But eventually they honored it because of when I originally put in my inquiry. 

Also their engineers will probably design the roof around protrusions without suggesting they be moved, as they don't want to handle the moving of them, such as vent pipes. So definitely suggest those things and get them taken care of by another roofing contractor before the install starts and it could mean more usable roof real estate.

I also got upgraded to the latest tiles that are a higher wattage, so the size of my system went up. It's bleeding edge tech and so is changing all the time.

So far, I have been very impressed with the people and the technology and would highly recommend Tesla Energy.",5,Bestcompany,,NJ
2022-12-05,We have a 50 panel,"We have a 50 panel leased system installed 4 years ago. It has never been operational. Have tried and tried to get someone out to find the problem. It seems to be an issue with the inverter or transfer switch. Calls, and calls and calls and more calls! Have not been able to even get a meaningfull conversation on the phone. Sometimes the phone menus system takes you in circles! CUSTOMER SERVICE IS COMPLETELY AWOL.",1,Bestcompany,,CA
2021-02-05,Tesla install of its small,"Tesla install of its small 4KW system with One power wall was one day.  

I was a Electrician and a Electrical designer for 45 years and I’m very impressed with the installation so far.... it’s been very good.
Tesla prepaired well and had 7 qualified professionals at the house . The installation was done very well and in one day which I would have never believed.
Very neat install very clean and good materials ... I’m very pleased with the Tesla panels which are performing well after 3 months .   In the dead of winter here in PA In February I’ve gotten up to 60% of rated capacity of panels indicating they are doing good .
I’ve already used the backup power wall which is seamless and very nice not having to drag out my old generator.
So far I give Tesla 5 stars.",5,Bestcompany,,PA
2022-07-03,Assuming I am reviewing the,"Assuming I am reviewing the one and only Tesla, I had a quote from them for solar panels + whole house battery system and they provide the best industry terms, warranty AND at the best price. They only offer one simple option to finance, no gimmicks. The only reason why I didn't give 5 stars is their current backlog, over 6 months waiting now (to be fair 5 months on Tesla and 1 month on my energy company) and still no final word on where things stand.  I will update this review when I hear back or move forward with them",4,Bestcompany,,CT
2023-01-05,Quote process was hard to,"Quote process was hard to follow and a little misleading. System seems like it would work well, but not competitive pricing.",3,Bestcompany,,OR
2022-02-05,We leased our solar power,We leased our solar power system from Solar City before the buyout from Tesla Solar. Transparent transfer from one company to the other. Excellent transaction throughout with great communication from install through activation. We had to deal with our local power company for the connection and turn-on but that was very smooth with assistance from Tesla (Solar City). We have been having connection problems with the wireless transmitter and it was actually detected by the monitoring department and they contacted us immediately and sent a technician out to fix the problem. I highly recommend Tesla Solar for any solar power install whether you purchase or lease the system. Thanks Tesla.,5,Bestcompany,,AZ
2022-09-03,I decided to go with,"I decided to go with Tesla for a couple of reasons. 1, they were the lowest priced. 2, they handle all aspects of the system themselves. From manufacturing or sourcing equipment, to installation, to financing. Seemed like a good idea. Everything up to and including the initial installation was flawless, except for the email + call + text (yes, all 3) every day for the 14 days leading up to the install date. After install is when the real problems started.
Prior to the City inspection, Tesla sent a tech to make sure everything was ready. He identified a couple of issues that could cause the inspection to fail. Tesla didn’t act upon this recommendation, and sure enough the inspection failed. Tesla came out to correct the issues, did so poorly, and the second inspection also failed. The system did pass on the third try. Wouldn’t be so bad, except I work from home. Every time Tesla had to come out, they turn my power off for however long. What they don’t tell you is someone needs to be home while the tech is there if any equipment is in the garage. So can’t work, and can’t go somewhere else to work.
System passed inspection 6/2. Tesla website says 1-6 weeks to complete the permission to operate application and have the new meter installed by your power company, unless delayed by the power company for some reason. In mid-June I received an email from my power company saying they were ready to proceed, waiting on the application from Tesla. I forwarded this to Tesla. Their reply is ‘we have 90 days to complete this application’. I called my power company and asked if this is true. The rep I spoke to said the remainder of the application is less than 100 keystrokes, but must be completed by Tesla, since they opened the application. *All attempts to get Tesla to tell me why it takes 90 days to complete the application have been met with ‘we have 90 days’ – nothing further.
Suddenly one day, my system stops working. The time was 12:00:00. Way too precise to be a coincidence in my book. I did the self-troubleshoot, to no avail. I turned the entire system off for a day to see if maybe it just got hot and needed to reset. No change. I called customer service, waited on hold, found out I don’t want customer service – I want Powerwall customer service. Called them. Went through the same troubleshoot process. Rep told me the system wasn’t communicating properly, and went into standby as an automatic safety precaution. We opened a service ticket, and she told me 7-14 calendar days for a service appointment. This was 7/15. No further communication from Tesla.
I started calling on 8/3 to ask about the missed 14-day threshold I was given. I was then told I would have to wait 20 business days (from 2 weeks to 4 weeks). When I asked why, I was told a tech would need to ping my system to see if they could reset it from the office (which is exactly what we did on 7/15). After 2 more days and 3 more calls / texts / chats, Tesla finally agreed to give me a service appointment. BUT- I would need to use the Tesla app to schedule it. My Tesla app doesn’t have the option to schedule service, so I had to call again. The rep sent a message to the scheduling dept, and I got a call within a couple of hours. My date is 8/25. Another 3 weeks. Again, no explanation why it takes so long.
I was told at one point that since I don’t have permission to operate, I was not a priority. I reminded them that this is because Tesla refuses to complete the application, not because of something I did or failed to do. It also isn’t because of the power company, who is sending me emails saying they are ready to go. No one I talk to is any help. I can’t get to a manager. I get random texts from Tesla that also don’t help. They did say they would move me up in the schedule if someone cancels. At 3 weeks for an appt, who’s going to cancel? At this point, my opinion is the appt for 8/25 should be for system removal, not service.",1,Bestcompany,,NV
2022-06-02,Tesla’s customer service is one,"Tesla’s customer service is one of the WORST I have ever experienced. Mr ELON MUSK  if you are reading this review you got to look into your customer service. It’s easy to criticize other people on your twitter feed as I have noticed. I bought a Tesla solar system for my house in dec 2021. I noticed in May 2022 that my system was not producing the kWh based on the system I installed. I contacted Tesla customer service via chat. I asked them to check regarding my system production. The chat agent mentioned everything was running great with my system after looking at my account. I have a 12.75 kw system and per Tesla customer service representative my system should produce 5-7 times my system. My Tesla app was only showing an average of 25 kWh production per day. After calling Tesla customer service and not getting a response from the customer service person even after following up multiple times. I am still waiting to hear back.
HORRIBLE!! Do not go with this company if you are thinking of installing a solar system.",1,Bestcompany,,CA
2022-06-02,Beware! Do not buy solar,Beware! Do not buy solar panels from Tesla. The installation (solar city) was amazing but this review is for Tesla customer service. Over 2 months our panels have been installed but power not turned on. You cant even call to speak to a live person anymore. I have never had such awful customer service and spent so much time and energy just trying to move things along but with no luck. If you want to talk to someone live you get a call back scheduled a week later. Awful.,1,Bestcompany,,CA
2022-04-01,We signed a purchase agreement,"We signed a purchase agreement last fall (2021) for a  15.72 kW system with 3 Powerwalls. Installers arrived with the wrong hardware and I naively assumed this was just a minor setback. Over 3 months later we still have no system installed, no target date, and a rep who will not return emails. 

My advice is to go with a reputable company with a proven track record of execution. 

Tesla Energy is not that company yet.",1,Bestcompany,,
2022-02-05,I want to start off,"I want to start off by saying was a huge fan of Tesla and there mission.   I own a Model 3 which I love and feel good about supporting a company who conceptually is trying to do good for the planet.  Best laid plans that are not properly executed can be disasters! I gave my deposit for the installation Tesla Large solar panel system September 2020 and after a year + my system was finally installed 5 weeks ago. Over all the installation went well with the exception that they forgot the ""gateway"" this device that lets me and Tesla see what's going on with the system. Its equivalent to driving blind!  A week after the install I had to start calling the customer service department to find out what was going on. They knew nothing about the gateway not being installed and I was assured that this would be taken care of immediately.  5 more call all with the same empty promises and lies I was even given a fictitious FedEx #.  Every time I would ask to speak to a supervisor I would be put on a very lengthy hold then transferred to another customer service rep who could do nothing. There is a purposeful and deliberate stone wall preventing a customer from speaking to any upper level management at Tesla Solar. I have never received a call back from anyone in management, which tells me either the messages are never sent to them or they just don't care. Very, very  disappointing!  Also though I would add that for a company that is technically labeled a technology company how terrible there customer portal is. There have been issue after issue of the wrong information being displayed (very important contractual information) and I have brought it to their attention and been told they don't know how to fix it. This is completely unacceptable! I know It's not going to happen but I'll ask again anyway; I would very much appreciate a call from some one in upper management.  Show me you care and prove me wrong!",1,Bestcompany,,CT
2022-02-05,We had solar installed at,"We had solar installed at the time by Solar City.  Tesla bought them.  For the first 6 yrs they where great.  We have never had any issue ie anything break until NOW...We have been without solar now going on 3month.  The issue is the Solar box ""inverter"" broke down stop working...long story we need a New inverter.  It has been a nightmare trying to get a hold of Tesla OMG....when you call customer service expect to wait for a good hour..no lie...I got a real person after waiting on the phone for hour..only to have the person on Tesla end not able to hear me...Where we live in San Luis Obispo the Manger that covers the Center Coast who goes by the name ""Dog"" is totally useless...His Voice mail box of course is ""Full""...when he did get back to us a text, He told us to contact Customer Care! Really. we already have done that twice....All I would say NEVER GO WITH TESLA ON SOLAR...IT IS A NIGHTMARE, THERE CUSTOMER SERVICE/CARE/ & MANGER OF THE CENTRAL COAST IS AWFUL! WHAT IS SAD I OWN A TESLA....",1,Bestcompany,,WA
2022-02-05,We have had our panels,"We have had our panels for 9 years, installed originally with solar city. Tesla took over a while ago. For the last 3 months we have had nothing but problems. We have have four technicians out, and today we had to schedule a 5th. Because the system is not working correctly we are being hit with massive “True Up” bills. We schedule tech appointments for when we are off, and Tesla reschedules for earlier days and times which means we have to take off work. We spend an hour on hold to speak with someone who says we need a technician, we wait days for the scheduler to reach out to us, more days/weeks for the appointment, and the. The technicians spend HOURS here and nothing gets fixed. We will be having our fifth visit in three months next week.",1,Bestcompany,,CO
2021-02-05,My solar system was installed,"My solar system was installed by Solar City which was purchased by Tesla.  My rating of one star if focused on the support provided by Tesla.  I have had to replace at least two inverters.  Each time it takes a minimum of two months to be up and running again.  Getting confirmation about delivery dates or status requires multiple calls.  Often a return call or email is promised.  Sometimes that happens sometimes it does not.  I cannot comment on installation, which may be great.  The issue is that there are years ahead for service and that is not a pretty prospect.  
Each and every person I have talked to have been very pleasant and seem to try to assist me.   I question whether or not they have the kind of backup they need so that they can honestly deal with clients.  They must take a lot of grief from client clients if my experience is similar to others. 
There is some sort of compensation for the system not being able to deliver the power that was promised in the contract, but I doubt that it comes near the value of the lost production of energy.",1,Bestcompany,,","
2020-02-06,Tesla has THE WORST customer,"Tesla has THE WORST customer service I have ever experienced. My husband and I closed on a house May 1 that came with Tesla Solar Panels. We have been trying to get the account transferred and set up in our name for almost three months. When I call Tesla, the only way to speak with a human being is to stay on hold for 30+ minutes. I've placed at least 10 calls and sent at least a dozen emails. NO ONE EVER RETURNS MY CALLS OR RESPONDS TO EMAILS. A month ago I was able to get someone on the line who said a first bill would be generated by July 1. Today is July 19 and NOTHING. I tried calling the other day and after 17 minutes on hold I hung up. Even their corporate headquarters phone lines go round and round and you can never get anyone on the phone. Why do I care if I don't get a bill right away??? Because I was originally told when I do finally get set up and billed, it will be for all months that THEY delayed so as of right now I own 4 months of payments.",1,Bestcompany,,NV
2019-02-06,We currently have a lease,"We currently have a lease agreement with Solar City, which is now Tesla Solar. We loved our solar panels on our house we bought a few years ago, because we didn't have to put the solar panels in, they were already there when we bought it. We just had to take over the lease from the old owners. The solar panels saved us about 30% off our monthly bill. These were great savings, and we didn't have any problems with Solar City, until we moved... They told us at first that we could take the panels with us to our new home and it would be a flat fee of $495 for them to come get them and move them to our new home, then another flat fee of $495 for them to set them up on the new house. Then when we tried to get them to come do it, they kept changing the price. Pretty soon, they were saying it was going to be more like $7,000 to move them, and they also said the new house wasn't going to be able to have as many panels so they would prefer we leave them at the old one. The buyers didn't want them--so we had to hire someone to come take the panels off the house and fix the roof--which cost us $5,000, and we still have the panels sitting in our back yard at the new house waiting for someone to get back to us. Needless to say, it has been a nightmare. I'm not sure if we'll ever be able to recoup the cost, and we still have years left on the lease with Solar City--even though they won't send anyone out to put  the panels onto our new house. I loved the savings the solar panels offered, but feel like their customer service is CRAP.  I thought when Tesla took over the company, they would clean it up--but it hasn't happened quickly enough, and things don't look great for this company.",2,Bestcompany,,AZ
2022-12-05,Good product. Easy communication. Expensive.,Good product. Easy communication. Expensive.,5,Bestcompany,,TX
