Fecha,Título,Descripción,Rating,Fuente,País,Estado USA
2022-11-04,Yeah I shop at walmart,"Yeah I shop at walmart and have a card there.  Do I like it - nope.  But is their card good, yes.  It does what it's supposed to. Their customer service is ok and their rates are higher than I like but it's an overall good card.",4,Bestcompany,,UT
2022-09-03,I'm not sure if this,"I'm not sure if this is for the Walmart money card or for the actual credit line Walmart is offering. I like the MoneyCard I have. Convenient if a bill needs to be paid online or over the phone (I got my checks cashed at work, so no direct deposit) hate they charge me $5 a month, but what can ya do, it's a prepaid hahah also gives you cash back when you buy from Walmart after 12 months",4,Bestcompany,,TX
2022-09-03,I have had my card,"I have had my card with Walmart since the time they changed over to using Capital One.  I haven't really used it more than once or twice.  The rates aren't really competitive with some of my other cards, so this one isn't a GOTO card.",3,Bestcompany,,AR
2022-06-02,Great card if you shop,"Great card if you shop at Walmart, 5% back cant be matched in store. Ended up grabbing this when I started using there online service a lot more. On par with amazon and might just convert me.",5,Bestcompany,,MI
2022-05-02,Walmart saved my lifestyle with,Walmart saved my lifestyle with it CC. Details were pretty clear and contacting customer service was just as easy. I had a great time with my card. Walmart is a one stop shop for me.,5,Bestcompany,,PA
2022-04-01,Walmart credit card service was,Walmart credit card service was really good to use. I qualified for the basic credit card but they have credit cards with Visa as well. I liked that I qualified for Walmart credit and it really helped me out in hard times,5,Bestcompany,,NY
2021-02-05,Walmart credit works fantastic. My,"Walmart credit works fantastic. My friend wanted to donate to my humanitarian trip, and through Walmart credit they were able to transfer money from Texas to Utah with no hassle at all. I have only had good experiences with Walmart credit.",5,Bestcompany,,MN
2021-02-05,I love Walmart’s credit system,"I love Walmart’s credit system because it can be used a crossed any walmart. It is easy to transfer money, and they have great customer service. I have never had a problem with them. I would recommend.",5,Bestcompany,,SJ
2022-03-01,A woman Cathy W was,A woman Cathy W was very helpful at check out in teaching how to use the lane for checking out and helping me get my groceries in a cart.,5,Bestcompany,,IN
2021-02-05,I have a Walmart Credit,I have a Walmart Credit Card and use is regularly for my purchases at Walmart.  I have benefitted from the rewards the card initially offered and the terms of the card.,5,Bestcompany,,UT
2022-11-04,Lately things have been broken,Lately things have been broken from my orders and a lot of items that were once there are no longer.,2,Bestcompany,,PA
2022-11-04,"Lovely service, great deals and","Lovely service, great deals and benefits.",5,Bestcompany,,FL
2022-10-04,makes shopping easy wonderful customer,makes shopping easy wonderful customer service and hassle free,5,Bestcompany,,TX
